Date,Team,Player,Pos,PTS_line,AST_line,REB_line,TPM_line,PA_line,PR_line,RA_line,PRA_line,STL_line,BLK_line,STL_BLK_line
11/20/2025,PHI,VJ Edgecombe,SG,14.5,3.5,5.5,1.5,18.5,19.5,8.5,23.5,1.5,,
11/20/2025,MEM,Vince Williams Jr.,SG,13.5,5.5,5.5,1.5,19.5,19.5,10.5,24.5,,,
11/20/2025,ORL,Wendell Carter Jr.,C,11.5,,8.5,1.5,,20.5,,,,0.5,
11/20/2025,ATL,Zaccharie Risacher,SF,11.5,1.5,2.5,1.5,13.5,14.5,4.5,16.5,,,
11/20/2025,MEM,Zach Edey,C,12.5,,9.5,,,22.5,,24.5,,1.5,
11/20/2025,SAC,Zach LaVine,SG,19.5,2.5,3.5,2.5,22.5,23.5,6.5,26.5,,,
11/20/2025,NOP,Zion Williamson,PF,22.5,4.5,6.5,0.5,27.5,29.5,11.5,34.5,,,
11/21/2025,DEN,Aaron Gordon,PF,16.5,1.5,5.5,1.5,19.5,23.5,7.5,25.5,0.5,0.5,
11/21/2025,UTA,Ace Bailey,SF,10.5,1.5,4.5,1.5,12.5,14.5,5.5,16.5,0.5,0.5,1.5
11/21/2025,OKC,Ajay Mitchell,SG,15.5,3.5,3.5,1.5,19.5,18.5,7.5,23.5,,,
11/21/2025,GSW,Al Horford,C,7.5,1.5,4.5,1.5,9.5,12.5,6.5,14.5,0.5,,
11/21/2025,HOU,Alperen Sengun,C,23.5,6.5,10.5,0.5,30.5,33.5,17.5,40.5,1.5,0.5,2.5
11/21/2025,HOU,Amen Thompson,SF,17.5,5.5,6.5,,22.5,24.5,12.5,29.5,1.5,0.5,2.5
11/21/2025,IND,Andrew Nembhard,PG,15.5,6.5,2.5,1.5,22.5,18.5,8.5,24.5,0.5,,
11/21/2025,BOS,Anfernee Simons,SG,12.5,2.5,2.5,2.5,15.5,15.5,5.5,18.5,,,
11/21/2025,MIN,Anthony Edwards,SG,27.5,4.5,4.5,3.5,32.5,32.5,9.5,37.5,1.5,0.5,1.5
11/21/2025,CHI,Ayo Dosunmu,SG,12.5,3.5,2.5,1.5,15.5,15.5,5.5,18.5,,,
11/21/2025,MIA,Bam Adebayo,C,21.5,3.5,9.5,1.5,24.5,30.5,12.5,34.5,0.5,0.5,1.5
11/21/2025,IND,Ben Sheppard,SG,7.5,,3.5,1.5,,11.5,,,,,
11/21/2025,IND,Bennedict Mathurin,SF,20.5,,5.5,1.5,,26.5,,,,,
11/21/2025,WAS,Bilal Coulibaly,SG,11.5,2.5,4.5,,14.5,15.5,7.5,18.5,1.5,,
11/21/2025,GSW,Brandin Podziemski,SG,11.5,2.5,4.5,1.5,14.5,16.5,7.5,19.5,,,
11/21/2025,TOR,Brandon Ingram,SF,21.5,3.5,5.5,1.5,25.5,27.5,9.5,31.5,,,
11/21/2025,DAL,Brandon Williams,PG,14.5,4.5,3.5,1.5,19.5,17.5,8.5,22.5,,,
11/21/2025,DEN,Bruce Brown,SG,7.5,,3.5,,,,,,,,
11/21/2025,GSW,Buddy Hield,SG,7.5,1.5,2.5,1.5,8.5,9.5,,11.5,,,
11/21/2025,WAS,CJ McCollum,SG,17.5,3.5,3.5,2.5,20.5,20.5,7.5,24.5,0.5,,
11/21/2025,WAS,Cam Whitmore,SF,9.5,,,,,,,,,,
11/21/2025,DEN,Cameron Johnson,SF,12.5,2.5,3.5,1.5,14.5,15.5,5.5,18.5,,,
11/21/2025,,Carlton Carrington,,6.5,,,,,,,,,,
11/21/2025,OKC,Cason Wallace,SG,8.5,2.5,2.5,1.5,11.5,11.5,5.5,14.5,,,
11/21/2025,OKC,Chet Holmgren,PF,18.5,1.5,7.5,1.5,20.5,26.5,9.5,27.5,0.5,1.5,2.5
11/21/2025,CHI,Coby White,SG,20.5,4.5,3.5,2.5,25.5,24.5,7.5,28.5,0.5,,
11/21/2025,PHO,Collin Gillespie,PG,11.5,5.5,4.5,2.5,17.5,16.5,9.5,21.5,,,
11/21/2025,DAL,Cooper Flagg,PG,17.5,3.5,6.5,1.5,21.5,23.5,10.5,27.5,1.5,0.5,1.5
11/21/2025,DAL,D'Angelo Russell,PG,12.5,4.5,2.5,1.5,17.5,15.5,7.5,20.5,,,
11/21/2025,DAL,Daniel Gafford,C,11.5,,6.5,,,18.5,,19.5,,1.5,
11/21/2025,CLE,Darius Garland,PG,14.5,5.5,2.5,2.5,20.5,17.5,7.5,22.5,0.5,,
11/21/2025,MIA,Davion Mitchell,PG,10.5,7.5,2.5,1.5,17.5,13.5,10.5,20.5,,,
11/21/2025,BRK,Day'Ron Sharpe,C,5.5,1.5,5.5,,8.5,11.5,7.5,13.5,,,
11/21/2025,CLE,De'Andre Hunter,SF,17.5,2.5,3.5,2.5,19.5,21.5,6.5,23.5,,,
11/21/2025,CLE,Dean Wade,PF,5.5,,,1.5,,,,,,,
11/21/2025,POR,Deni Avdija,SF,28.5,6.5,7.5,2.5,35.5,36.5,14.5,43.5,0.5,0.5,1.5
11/21/2025,DAL,Dereck Lively II,C,6.5,,6.5,,,12.5,,14.5,,1.5,
11/21/2025,NOP,Derik Queen,C,13.5,3.5,7.5,,17.5,21.5,11.5,24.5,,1.5,
